url,type,label,object_id,target_description,update_status,live_meta_description,live_h1_count,note
https://defiliban.io/market/binance/,category,Binance,13,"Latest Binance market updates, exchange developments, listings, compliance moves, and trading-related coverage from DeFiliban.",done,"Latest Binance market updates, exchange developments, listings, compliance moves, and trading-related coverage from DeFiliban.",1,Live meta description matches target.
https://defiliban.io/crypto/,category,Crypto,3,"Daily crypto news, market shifts, token developments, regulation updates, and ecosystem analysis across Bitcoin, Ethereum, stablecoins, and Web3.",done,"Daily crypto news, market shifts, token developments, regulation updates, and ecosystem analysis across Bitcoin, Ethereum, stablecoins, and Web3.",1,Live meta description matches target.
https://defiliban.io/market/business/,category,Business,15,"Crypto business news covering corporate strategy, institutional adoption, fundraising, partnerships, and major industry moves.",done,"Crypto business news covering corporate strategy, institutional adoption, fundraising, partnerships, and major industry moves.",1,Live meta description matches target.
https://defiliban.io/blog/,page,Blog,88,"Latest DeFi, crypto, blockchain, and market updates from DeFiliban.",partial_template_block,"Latest DeFi, crypto, blockchain, and market updates from DeFiliban.",0,"Meta description updated, but posts-page template still renders no H1."
https://defiliban.io/news/,category,News,8,"Breaking crypto news, market-moving developments, exchange updates, regulation changes, and major Web3 stories from DeFiliban.",done,"Breaking crypto news, market-moving developments, exchange updates, regulation changes, and major Web3 stories from DeFiliban.",1,Live meta description matches target.
https://defiliban.io/cmc/,category,CMC,36,"CoinMarketCap-related crypto coverage, token data context, market reference topics, and supporting ecosystem updates from DeFiliban.",done,"CoinMarketCap-related crypto coverage, token data context, market reference topics, and supporting ecosystem updates from DeFiliban.",2,Live meta description matches target.
https://defiliban.io/blockchain/,category,Blockchain,2,"Blockchain news and analysis covering infrastructure, networks, enterprise adoption, security, and protocol-level developments.",done,"Blockchain news and analysis covering infrastructure, networks, enterprise adoption, security, and protocol-level developments.",1,Live meta description matches target.
https://defiliban.io/market/,category,Market,6,"Crypto market coverage including price action, macro drivers, institutional flows, sentiment shifts, and trading-focused analysis.",done,"Crypto market coverage including price action, macro drivers, institutional flows, sentiment shifts, and trading-focused analysis.",1,Live meta description matches target.
https://defiliban.io/crypto/bitcoin/,category,Bitcoin,14,"Bitcoin news, ETF flows, on-chain trends, treasury moves, miner developments, and BTC market analysis from DeFiliban.",done,"Bitcoin news, ETF flows, on-chain trends, treasury moves, miner developments, and BTC market analysis from DeFiliban.",1,Live meta description matches target.
https://defiliban.io/crypto/ethereum/,category,Ethereum,4,"Ethereum news covering ETH price action, staking, DeFi infrastructure, layer-2 growth, whales, and network upgrades.",done,"Ethereum news covering ETH price action, staking, DeFi infrastructure, layer-2 growth, whales, and network upgrades.",1,Live meta description matches target.
https://defiliban.io/crypto/tether/,category,Tether,11,"Tether and stablecoin coverage including USDT issuance, treasury activity, regulation, reserve questions, and market impact.",done,"Tether and stablecoin coverage including USDT issuance, treasury activity, regulation, reserve questions, and market impact.",1,Live meta description matches target.
https://defiliban.io/crypto/forex/,category,Forex,5,"Forex and macro market coverage connected to crypto sentiment, liquidity conditions, rates, and cross-asset trading signals.",done,"Forex and macro market coverage connected to crypto sentiment, liquidity conditions, rates, and cross-asset trading signals.",1,Live meta description matches target.
https://defiliban.io/news/mining/,category,Mining,18,"Crypto mining news covering miner strategy, hash rate, energy, hardware, treasury moves, and Bitcoin mining trends.",done,"Crypto mining news covering miner strategy, hash rate, energy, hardware, treasury moves, and Bitcoin mining trends.",1,Live meta description matches target.
https://defiliban.io/news/nft/,category,NFT,9,"NFT news and analysis covering collections, marketplaces, trading activity, creator ecosystems, and Web3 culture shifts.",done,"NFT news and analysis covering collections, marketplaces, trading activity, creator ecosystems, and Web3 culture shifts.",1,Live meta description matches target.
https://defiliban.io/news/stocks/,category,Stocks,10,"Stock-market coverage relevant to crypto, including listed crypto firms, institutional equity moves, and cross-market sentiment.",done,"Stock-market coverage relevant to crypto, including listed crypto firms, institutional equity moves, and cross-market sentiment.",1,Live meta description matches target.
https://defiliban.io/market/money/,category,Money,7,"Money and macro-finance coverage tied to crypto markets, liquidity, capital flows, risk appetite, and policy signals.",done,"Money and macro-finance coverage tied to crypto markets, liquidity, capital flows, risk appetite, and policy signals.",1,Live meta description matches target.
https://defiliban.io/market/trading/,category,Trading,12,"Crypto trading coverage including derivatives, leverage, exchange activity, whale positioning, volatility, and market structure.",done,"Crypto trading coverage including derivatives, leverage, exchange activity, whale positioning, volatility, and market structure.",1,Live meta description matches target.
https://defiliban.io/projects/,category,Projects,58,"Crypto project coverage featuring launches, updates, product developments, token ecosystems, and notable Web3 builders.",done,"Crypto project coverage featuring launches, updates, product developments, token ecosystems, and notable Web3 builders.",1,Live meta description matches target.
