source_url,broken_target,anchor_text,action_taken,replacement_url,status
https://defiliban.io/bitcoin-miner-3pfndg-reportedly-sold-265-btc-after-2-years/,https://defiliban.io/bitcoin-and-ethereum-etf-net-flows-april-7-update/,Bitcoin and Ethereum ETF Net Flows: April 7 Update,replace_link,https://defiliban.io/april-7-bitcoin-ethereum-etf-net-flows-update/,already_clean
https://defiliban.io/bitcoin-spot-etf-net-outflow-april-7-sosovalue/,https://defiliban.io/bitcoin-and-ethereum-etf-net-flows-april-7-update/,Bitcoin and Ethereum ETF Net Flows: April 7 Update,replace_link,https://defiliban.io/april-7-bitcoin-ethereum-etf-net-flows-update/,already_clean
https://defiliban.io/jiang-zhuoer-shorted-eth-short-to-medium-term/,https://defiliban.io/bitcoin-and-ethereum-etf-net-flows-april-7-update/,Bitcoin and Ethereum ETF net-flow update,replace_link,https://defiliban.io/april-7-bitcoin-ethereum-etf-net-flows-update/,already_clean
https://defiliban.io/bitcoin-stress-cycle-ending-not-yet-reversing/,https://defiliban.io/binance-spot-delists-bifi-fio-fun-mdt-oxt-and-wan-what-changes-now/,Binance spot delisting update,replace_link,https://defiliban.io/bifi-fio-fun-mdt-oxt-wan-delisted-binance-spot/,already_clean
https://defiliban.io/gambler-0x049b-shorting-btc-eth-20x-40m/,https://defiliban.io/binance-spot-delists-bifi-fio-fun-mdt-oxt-and-wan-what-changes-now/,"Binance Spot Delists BIFI, FIO, FUN, MDT, OXT, and WAN: What Changes Now",replace_link,https://defiliban.io/bifi-fio-fun-mdt-oxt-wan-delisted-binance-spot/,already_clean
https://defiliban.io/top-5-crypto-news-last-24-hours-blockstream-quantum-security/,https://defiliban.io/cambodia-passes-first-cybercrime-law-targeting-scam-compounds/,Cambodia Passes First Cybercrime Law Targeting Scam Compounds,replace_link,https://defiliban.io/cambodia-first-cybercrime-law-scam-compounds/,already_clean
https://defiliban.io/privacy-bitcoin-or-ai-bitcoin/,https://defiliban.io/binance-spot-delists-bifi-fio-fun-mdt-oxt-and-wan-what-changes-now/,"Binance Spot Delists BIFI, FIO, FUN, MDT, OXT, and WAN: What Changes Now",replace_link,https://defiliban.io/bifi-fio-fun-mdt-oxt-wan-delisted-binance-spot/,already_clean
https://defiliban.io/gambler-0x049b-shorting-btc-eth-20x-40m/,https://defiliban.io/bitcoin-stress-cycle-nears-end-but-reversal-isnt-here-yet/,Bitcoin Stress Cycle Nears End, But Reversal Isn’t Here Yet,replace_link,https://defiliban.io/bitcoin-stress-cycle-ending-not-yet-reversing/,already_clean
https://defiliban.io/circle-compliance-failures-zachxbt-420m-allegations/,https://defiliban.io/cambodia-passes-first-cybercrime-law-targeting-scam-compounds/,Cambodia Passes First Cybercrime Law Targeting Scam Compounds,replace_link,https://defiliban.io/cambodia-first-cybercrime-law-scam-compounds/,already_clean
https://defiliban.io/charles-schwab-crypto-vertical-bitcoin-buying-soon/,https://defiliban.io/cambodia-passes-first-cybercrime-law-targeting-scam-compounds/,Cambodia Passes First Cybercrime Law Targeting Scam Compounds,replace_link,https://defiliban.io/cambodia-first-cybercrime-law-scam-compounds/,already_clean
https://defiliban.io/genius-featured-binance-alpha/,https://defiliban.io/crypto-market-sees-115m-liquidated-in-60-minutes/,sharp liquidation cascades across major exchanges,replace_link,https://defiliban.io/115-million-liquidated-crypto-market-60-minutes/,done
https://defiliban.io/btc-short-liquidity-cluster-above-74k-negative-funding-short-squeeze/,https://defiliban.io/crypto-market-sees-115m-liquidated-in-60-minutes/,crypto market saw $115 million liquidated in 60 minutes,replace_link,https://defiliban.io/115-million-liquidated-crypto-market-60-minutes/,done
https://defiliban.io/chainalysis-stablecoin-economic-volume-719t-2035/,https://defiliban.io/crypto-market-sees-115m-liquidated-in-60-minutes/,Crypto Market Sees $115M Liquidated in 60 Minutes,replace_link,https://defiliban.io/115-million-liquidated-crypto-market-60-minutes/,done
https://defiliban.io/usdt-tether-launches-self-custodial-tether-wallet-for-end-users/,https://defiliban.io/bybit-launches-44-stock-cfds-including-blackrock-bitcoin-etf-ibit/,Bybit Launches 44 Stock CFDs Including BlackRock Bitcoin ETF IBIT,replace_link,https://defiliban.io/bybit-launches-44-stock-cfds-ibit-blackrock-bitcoin-etf/,done
https://defiliban.io/goldman-sachs-bitcoin-premium-income-etf-filing/,https://defiliban.io/bybit-launches-44-stock-cfds-including-blackrock-bitcoin-etf-ibit/,BlackRock’s IBIT and similar spot Bitcoin ETF offerings,replace_link,https://defiliban.io/bybit-launches-44-stock-cfds-ibit-blackrock-bitcoin-etf/,done
https://defiliban.io/btc-bitcoin-divergence-spot-rally-binance-open-interest-plunges/,https://defiliban.io/bybit-launches-44-stock-cfds-including-blackrock-bitcoin-etf-ibit/,Bybit Launches 44 Stock CFDs Including BlackRock Bitcoin ETF IBIT,replace_link,https://defiliban.io/bybit-launches-44-stock-cfds-ibit-blackrock-bitcoin-etf/,done
https://defiliban.io/morgan-stanley-amy-oldenburg-spot-bitcoin-etf-best-first-day-trading/,https://defiliban.io/bitcoin-stress-cycle-nears-end-but-reversal-isnt-here-yet/,Bitcoin Stress Cycle Nears End, But Reversal Isn’t Here Yet,replace_link,https://defiliban.io/bitcoin-stress-cycle-ending-not-yet-reversing/,already_clean
https://defiliban.io/privacy-bitcoin-or-ai-bitcoin/,https://defiliban.io/bitcoin-stress-cycle-nears-end-but-reversal-isnt-here-yet/,Bitcoin Stress Cycle Nears End, But Reversal Isn’t Here Yet,replace_link,https://defiliban.io/bitcoin-stress-cycle-ending-not-yet-reversing/,already_clean
