source_url,slug,reason,confidence,post_id,title,status,delete_status,detail
https://defiliban.io/ineminer-cloud-mining-launch/,ineminer-cloud-mining-launch,Cloud-mining launch article looks spammy/high-risk and low-quality.,high,3845,INEMiner Launches Cloud Mining Platform with Free Bonus,publish,trashed,Post #3845 deleted
https://defiliban.io/ourbit-super-ipo-products-spax-and-openai-see-active-market-participation/,ourbit-super-ipo-products-spax-and-openai-see-active-market-participation,Spammy promo framing and weak editorial value.,high,9938,Ourbit Super IPO Products SPAX and OPENAI See Active Market Participation,publish,trashed,Post #9938 deleted
https://defiliban.io/basis-pro-is-live-base58labs-officially-launches-crypto-arbitrage-platform/,basis-pro-is-live-base58labs-officially-launches-crypto-arbitrage-platform,Launch PR for arbitrage platform; low trust and low evergreen value.,high,9448,BASIS.pro Is Live: Base58Labs Officially Launches Crypto Arbitrage Platform,publish,trashed,Post #9448 deleted
https://defiliban.io/roobet-launches-prediction-markets-on-may-6-the-first-major-crypto-casino-to-integrate-the-format/,roobet-launches-prediction-markets-on-may-6-the-first-major-crypto-casino-to-integrate-the-format,Crypto-casino promo piece is low-trust and off-brand for a cleaner SEO profile.,high,9367,"Roobet Launches Prediction Markets on May 6, The First Major Crypto Casino to Integrate the Format",publish,trashed,Post #9367 deleted
https://defiliban.io/fintech-revolution-summit-abu-dhabi-2025/,fintech-revolution-summit-abu-dhabi-2025,Generic event promo outside core DeFi editorial focus.,high,5047,Fintech Revolution Summit – Abu Dhabi 2025: Fintech Revolution Summit 2025,publish,trashed,Post #5047 deleted
https://defiliban.io/cyber-revolution-summit-2026-mozambique-harnessing-innovation-for-a-safer-cyber-future/,cyber-revolution-summit-2026-mozambique-harnessing-innovation-for-a-safer-cyber-future,Off-topic B2B summit promo with low relevance to crypto/DeFi.,high,6568,Cyber Revolution Summit 2026– Mozambique: Harnessing Innovation for a Safer Cyber Future,publish,trashed,Post #6568 deleted
https://defiliban.io/world-datacentre-summit-vietnam-2026-opens-sponsorship-speaking-and-exhibition-opportunities/,world-datacentre-summit-vietnam-2026-opens-sponsorship-speaking-and-exhibition-opportunities,Datacentre event sponsorship promo is off-topic for the site.,high,9633,"World Datacentre Summit Vietnam 2026 Opens Sponsorship, Speaking, and Exhibition Opportunities",publish,trashed,Post #9633 deleted
https://defiliban.io/govxcellence-summit-malaysia-2026/,govxcellence-summit-malaysia-2026,Government digitization summit promo is off-topic for the site.,high,9642,GovXcellence Summit Malaysia 2026,publish,trashed,Post #9642 deleted
https://defiliban.io/jakarta-sets-the-stage-for-a-people-powered-revolution-the-world-hr-summit-indonesia-lands-on-november-26-2025/,jakarta-sets-the-stage-for-a-people-powered-revolution-the-world-hr-summit-indonesia-lands-on-november-26-2025,HR summit promo is off-topic for the site.,high,5049,"The World HR Summit Indonesia Lands on November 26, 2025",publish,trashed,Post #5049 deleted
https://defiliban.io/air-summit-2026-where-artificial-intelligence-powers-the-next-wave-of-innovation/,air-summit-2026-where-artificial-intelligence-powers-the-next-wave-of-innovation,Generic AI summit promo unrelated to site core topical authority.,high,6429,AIR Summit 2026: WHERE ARTIFICIAL INTELLIGENCE POWERS THE NEXT WAVE OF INNOVATION,publish,trashed,Post #6429 deleted
https://defiliban.io/bahrain-powers-the-next-wave-of-financial-innovation-fintech-revolution-summit-2026-announced-in-manama/,bahrain-powers-the-next-wave-of-financial-innovation-fintech-revolution-summit-2026-announced-in-manama,Fintech summit promo; likely PR clutter if the site is not building an events vertical.,high,6427,Bahrain Powers the Next Wave of Financial Innovation: Fintech Revolution Summit 2026 Announced in Manama,publish,trashed,Post #6427 deleted
https://defiliban.io/cyber-revolution-summit-2025-kuwait-harnessing-innovation-for-a-safer-cyber-future/,cyber-revolution-summit-2025-kuwait-harnessing-innovation-for-a-safer-cyber-future,Off-topic cyber summit promo.,high,5534,Cyber Revolution Summit 2025 – Kuwait: Harnessing Innovation for a Safer Cyber Future,publish,trashed,Post #5534 deleted
https://defiliban.io/air-summit-2025-where-artificial-intelligence-powers-the-next-wave-of-innovation/,air-summit-2025-where-artificial-intelligence-powers-the-next-wave-of-innovation,Generic AI summit promo unrelated to site core topical authority.,high,5538,AIR Summit 2025 &#8211; WHERE ARTIFICIAL INTELLIGENCE POWERS THE NEXT WAVE OF INNOVATION,publish,trashed,Post #5538 deleted
https://defiliban.io/the-digital-revolution-summit-2025-lets-shape-a-smarter-tech-driven-future-together/,the-digital-revolution-summit-2025-lets-shape-a-smarter-tech-driven-future-together,Generic tech summit promo; low topical fit.,high,5536,"The Digital Revolution Summit 2025 – Let’s shape a smarter, tech-driven future together",publish,trashed,Post #5536 deleted
https://defiliban.io/saudi-arabia-to-host-the-oil-gas-technology-summit-2025-on-7th-8th-september/,saudi-arabia-to-host-the-oil-gas-technology-summit-2025-on-7th-8th-september,Oil and gas event promo is clearly outside the site's crypto/DeFi topical focus.,high,5540,Saudi Arabia to Host the Oil &amp; Gas Technology Summit 2025 on 7th &amp; 8th September,publish,trashed,Post #5540 deleted
https://defiliban.io/saudi-arabia-leads-middle-easts-fintech-future-fintech-revolution-summit-2025/,saudi-arabia-leads-middle-easts-fintech-future-fintech-revolution-summit-2025,Fintech summit promo; low fit unless an events strategy exists.,high,5542,Saudi Arabia Leads Middle East’s Fintech Future: Fintech Revolution Summit 2025,publish,trashed,Post #5542 deleted
https://defiliban.io/govxcellence-philippines-2026-digitize-modernize-lead-advancing-governance-excellence-for-a-smarter-nation/,govxcellence-philippines-2026-digitize-modernize-lead-advancing-governance-excellence-for-a-smarter-nation,Government modernization summit promo is off-topic.,high,6830,GovXcellence Philippines 2026: Digitize. Modernize. Lead: Advancing Governance Excellence for a Smarter Nation,publish,trashed,Post #6830 deleted
https://defiliban.io/philippines-fintech-revolution-summit-2026-opens-sponsorship-speaking-and-exhibition-opportunities/,philippines-fintech-revolution-summit-2026-opens-sponsorship-speaking-and-exhibition-opportunities,Fintech sponsorship promo is PR clutter with weak evergreen value.,high,9065,"Philippines Fintech Revolution Summit 2026 Opens Sponsorship, Speaking, and Exhibition Opportunities",publish,trashed,Post #9065 deleted
https://defiliban.io/fintech-revolution-summit-philippines-2026/,fintech-revolution-summit-philippines-2026,Generic fintech summit promo; low fit unless an events vertical exists.,high,7603,Fintech Revolution Summit –Philippines 2026,publish,trashed,Post #7603 deleted
