source_url,broken_target,instances,example_anchor,link_position,recommended_action,note
https://defiliban.io/bitcoin-network-transactions-and-fees-surge-amid-investor-de-risking/,https://defiliban.io/t/coinbase/,1,Coinbase,Content,replace_with_https://defiliban.io/news/coinbase/,content-source; update old tag link in article body or remove link if context is weak
https://defiliban.io/shiba-inu-shib-and-dogecoin-doge-to-provide-king-sized-returns/,https://defiliban.io/t/coinbase/,1,Coinbase,Content,replace_with_https://defiliban.io/news/coinbase/,content-source; update old tag link in article body or remove link if context is weak
https://defiliban.io/crypto/page/147/,https://defiliban.io/t/coinbase/,1,Coinbase,Content,leave_for_recheck_after_source_cleanup,archive_or_pagination_page; likely residual because article/category sources still link to old tag URL
https://defiliban.io/news/page/37/,https://defiliban.io/t/coinbase/,2,Coinbase,Content,leave_for_recheck_after_source_cleanup,archive_or_pagination_page; likely residual because article/category sources still link to old tag URL
https://defiliban.io/blockchain/page/12/,https://defiliban.io/t/coinbase/,1,Coinbase,Content,leave_for_recheck_after_source_cleanup,archive_or_pagination_page; likely residual because article/category sources still link to old tag URL
https://defiliban.io/blockchain/page/11/,https://defiliban.io/t/coinbase/,2,Coinbase,Content,leave_for_recheck_after_source_cleanup,archive_or_pagination_page; likely residual because article/category sources still link to old tag URL
https://defiliban.io/bitcoin-to-reach-100k-by-2023-says-bitbull-capital-ceo/,https://defiliban.io/t/coinbase/,1,Coinbase,Content,replace_with_https://defiliban.io/news/coinbase/,content-source; update old tag link in article body or remove link if context is weak
https://defiliban.io/heres-why-blue-chip-nft-prices-continue-to-soar-nearly-a-week/,https://defiliban.io/t/coinbase/,1,Coinbase,Content,replace_with_https://defiliban.io/news/coinbase/,content-source; update old tag link in article body or remove link if context is weak
https://defiliban.io/market/page/34/,https://defiliban.io/t/coinbase/,1,Coinbase,Content,leave_for_recheck_after_source_cleanup,archive_or_pagination_page; likely residual because article/category sources still link to old tag URL
https://defiliban.io/bitcoin-price-hits-10-week-lows-as-40k-spike-becomes/,https://defiliban.io/t/coinbase/,1,Coinbase,Content,replace_with_https://defiliban.io/news/coinbase/,content-source; update old tag link in article body or remove link if context is weak
https://defiliban.io/the-united-states-turns-its-attention-to-stablecoin-regulation/,https://defiliban.io/t/coinbase/,1,Coinbase,Content,replace_with_https://defiliban.io/news/coinbase/,content-source; update old tag link in article body or remove link if context is weak
https://defiliban.io/blockchain-technology-to-power-de-beers-diamond-production/,https://defiliban.io/t/coinbase/,1,Coinbase,Content,replace_with_https://defiliban.io/news/coinbase/,content-source; update old tag link in article body or remove link if context is weak
https://defiliban.io/amid-crypto-hype-googles-cloud-unit-creates-web3-team/,https://defiliban.io/t/coinbase/,1,Coinbase,Content,replace_with_https://defiliban.io/news/coinbase/,content-source; update old tag link in article body or remove link if context is weak
https://defiliban.io/galaxy-digital-reports-112m-q1-loss-citing-crypto-price-volatility/,https://defiliban.io/t/coinbase/,1,Coinbase,Content,replace_with_https://defiliban.io/news/coinbase/,content-source; update old tag link in article body or remove link if context is weak
https://defiliban.io/markets-are-weak-but-algo-fxs-and-hnt-book-a-20-rally/,https://defiliban.io/t/coinbase/,1,Coinbase,Content,replace_with_https://defiliban.io/news/coinbase/,content-source; update old tag link in article body or remove link if context is weak
https://defiliban.io/crypto-bahamas-regulations-enter-critical-stage-as-govt-shows-interest/,https://defiliban.io/t/coinbase/,1,Coinbase,Content,replace_with_https://defiliban.io/news/coinbase/,content-source; update old tag link in article body or remove link if context is weak
https://defiliban.io/utah-governor-approves-of-blockchain-and-digital-innovation-task-force/,https://defiliban.io/t/coinbase/,1,Coinbase,Content,replace_with_https://defiliban.io/news/coinbase/,content-source; update old tag link in article body or remove link if context is weak
https://defiliban.io/binance-reportedly-halts-crypto-derivatives-service-in-spain/,https://defiliban.io/t/coinbase/,1,Coinbase,Content,replace_with_https://defiliban.io/news/coinbase/,content-source; update old tag link in article body or remove link if context is weak
https://defiliban.io/how-to-avoid-front-runners-on-decentralized-crypto-exchanges/,https://defiliban.io/t/coinbase/,1,Coinbase,Content,replace_with_https://defiliban.io/news/coinbase/,content-source; update old tag link in article body or remove link if context is weak
https://defiliban.io/seven-times-bitcoin-miners-made-the-world-a-better-place/,https://defiliban.io/t/coinbase/,1,Coinbase,Content,replace_with_https://defiliban.io/news/coinbase/,content-source; update old tag link in article body or remove link if context is weak
https://defiliban.io/what-are-the-most-bullish-cryptocurrencies-to-buy-right-now/,https://defiliban.io/t/coinbase/,1,Coinbase,Content,replace_with_https://defiliban.io/news/coinbase/,content-source; update old tag link in article body or remove link if context is weak
